benchmark,smt,event,duration,result
FASTJSON-39_1,smt-40,check,0,false
GUAVA-78_1,smt-53,check,0,false
GUAVA-260_1,smt-337,solve,35,SAT
GUAVA-260_1,smt-128,check,0,false
GUAVA-260_1,smt-128,solve,6,UNSAT
GUAVA-260_1,smt-128,update,0,
GUAVA-260_1,smt-134,check,0,false
GUAVA-260_1,smt-134,solve,4,UNSAT
GUAVA-260_1,smt-134,update,0,
GUAVA-260_1,smt-216,check,0,false
GUAVA-260_1,smt-216,solve,8,UNSAT
GUAVA-260_1,smt-216,update,0,
GUAVA-260_1,smt-365,check,0,false
GUAVA-260_1,smt-365,solve,3,UNSAT
GUAVA-260_1,smt-365,update,0,
GUAVA-78_1,smt-53,solve,214,SAT
SPOON-151_1,smt-362,solve,80,UNSAT
SPOON-151_1,smt-362,update,0,
GUAVA-78_1,smt-7,check,0,false
SPOON-151_1,smt-394,check,0,false
GUAVA-78_1,smt-7,solve,139,UNSAT
GUAVA-78_1,smt-7,update,0,
